dataset_label,sample_design,coef,quant,method,prop_repl,prop_rich
Aguiar_2012,standardized_fragment,BJ,FALSE,"Baselga family, Jaccard",0.7027848101265822,NA
Aguiar_2012,standardized_fragment,BJ,TRUE,"Baselga family, Ruzicka",0.362844530965843,NA
Aizen_1994,standardized_fragment,BJ,FALSE,"Baselga family, Jaccard",0.7378182964144986,NA
Aizen_1994,standardized_fragment,BJ,TRUE,"Baselga family, Ruzicka",0.6434694726418907,NA
Almeida-Gomes_2014,standardized_fragment,BJ,FALSE,"Baselga family, Jaccard",0.8189598420013168,NA
Almeida-Gomes_2014,standardized_fragment,BJ,TRUE,"Baselga family, Ruzicka",0.8123469530799757,NA
Andresen_2003,pooled,BJ,FALSE,"Baselga family, Jaccard",0.3936338973844051,NA
Andresen_2003,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.7147626528924358,NA
Baldi_1999,pooled,BJ,FALSE,"Baselga family, Jaccard",0.8182040967080492,NA
Baldi_1999,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.7582486132556596,NA
Baz_1995,standardized_fragment,BJ,FALSE,"Baselga family, Jaccard",0.8549749710531362,NA
Baz_1995,standardized_fragment,BJ,TRUE,"Baselga family, Ruzicka",0.9012768259605344,NA
Bell_2006_a,pooled,BJ,FALSE,"Baselga family, Jaccard",0.7155618284810331,NA
Bell_2006_a,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.7641310193314945,NA
Bell_2006_b,pooled,BJ,FALSE,"Baselga family, Jaccard",0.7314114375407382,NA
Bell_2006_b,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.6650333279825491,NA
Benedick_2006,standardized_subsamples,BJ,FALSE,"Baselga family, Jaccard",0.8986526934149757,NA
Benedick_2006,standardized_subsamples,BJ,TRUE,"Baselga family, Ruzicka",0.7714102579404746,NA
Benitez-Malvido_2016,standardized_fragment,BJ,FALSE,"Baselga family, Jaccard",0.9500128172263523,NA
Benitez-Malvido_2016,standardized_fragment,BJ,TRUE,"Baselga family, Ruzicka",0.8567763068104273,NA
Berg_1997,pooled,BJ,FALSE,"Baselga family, Jaccard",0.7434542865027097,NA
Berg_1997,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.7333093465943142,NA
Bernard_2007,pooled,BJ,FALSE,"Baselga family, Jaccard",0.7757127143035591,NA
Bernard_2007,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.6786399321125851,NA
Bolger_1997,pooled,BJ,FALSE,"Baselga family, Jaccard",0.5836794437837344,NA
Bolger_1997,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.679392750928488,NA
Bossart_2006,pooled,BJ,FALSE,"Baselga family, Jaccard",0.6789708319467643,NA
Bossart_2006,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.5229256659180037,NA
Bossart_2016,pooled,BJ,FALSE,"Baselga family, Jaccard",0.7073723324572142,NA
Bossart_2016,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.6128225826382311,NA
Bragagnolo_2007,standardized_subsamples,BJ,FALSE,"Baselga family, Jaccard",0.7589444229142935,NA
Bragagnolo_2007,standardized_subsamples,BJ,TRUE,"Baselga family, Ruzicka",0.6741981238806922,NA
Brosi_2008,standardized_fragment,BJ,FALSE,"Baselga family, Jaccard",0.9106040687020931,NA
Brosi_2008,standardized_fragment,BJ,TRUE,"Baselga family, Ruzicka",0.8660050740261276,NA
Brosi_2009,standardized_fragment,BJ,FALSE,"Baselga family, Jaccard",0.744913685970678,NA
Brosi_2009,standardized_fragment,BJ,TRUE,"Baselga family, Ruzicka",0.7404435669723187,NA
Cabrera-Guzman_2012,standardized_subsamples,BJ,FALSE,"Baselga family, Jaccard",0.6094015480330629,NA
Cabrera-Guzman_2012,standardized_subsamples,BJ,TRUE,"Baselga family, Ruzicka",0.5194196018844804,NA
Caceres_2010,pooled,BJ,FALSE,"Baselga family, Jaccard",0.8821522825672329,NA
Caceres_2010,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.7484965298416648,NA
Cadotte_2002_a,standardized_subsamples,BJ,FALSE,"Baselga family, Jaccard",0.9249446449968531,NA
Cadotte_2002_a,standardized_subsamples,BJ,TRUE,"Baselga family, Ruzicka",0.9742179593181273,NA
Cadotte_2002_b,standardized_subsamples,BJ,FALSE,"Baselga family, Jaccard",0.9069117265184686,NA
Cadotte_2002_b,standardized_subsamples,BJ,TRUE,"Baselga family, Ruzicka",0.9665569371497776,NA
Carneiro_2016,standardized_fragment,BJ,FALSE,"Baselga family, Jaccard",0.8833897457216497,NA
Carneiro_2016,standardized_fragment,BJ,TRUE,"Baselga family, Ruzicka",0.9165534432207031,NA
Cayuela_2006,pooled,BJ,FALSE,"Baselga family, Jaccard",0.854610843344837,NA
Cayuela_2006,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.9290305071397554,NA
Chiarello_1999,pooled,BJ,FALSE,"Baselga family, Jaccard",0.9383672757936067,NA
Chiarello_1999,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.8830356233931373,NA
Cosson_1999,standardized_fragment,BJ,FALSE,"Baselga family, Jaccard",0.27474747474747474,NA
Cosson_1999,standardized_fragment,BJ,TRUE,"Baselga family, Ruzicka",0.29266650795084187,NA
Dami_2012,pooled,BJ,FALSE,"Baselga family, Jaccard",0.6432174041567407,NA
Dami_2012,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.6091051284854048,NA
Dauber_2006,pooled,BJ,FALSE,"Baselga family, Jaccard",0.7527375554977244,NA
Dauber_2006,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.8018726549994889,NA
Davies_2003,standardized_subsamples,BJ,FALSE,"Baselga family, Jaccard",0.9241688649313455,NA
Davies_2003,standardized_subsamples,BJ,TRUE,"Baselga family, Ruzicka",0.9334370647866589,NA
DeLaSancha_2014,standardized_fragment,BJ,FALSE,"Baselga family, Jaccard",0.7766727052497939,NA
DeLaSancha_2014,standardized_fragment,BJ,TRUE,"Baselga family, Ruzicka",0.47637979669746666,NA
DeSouza_1994,standardized_subsamples,BJ,FALSE,"Baselga family, Jaccard",0.8700621783407863,NA
DeSouza_1994,standardized_subsamples,BJ,TRUE,"Baselga family, Ruzicka",0.9072301768232305,NA
Dickman_1987,standardized_fragment,BJ,FALSE,"Baselga family, Jaccard",0.5128477909042551,NA
Dickman_1987,standardized_fragment,BJ,TRUE,"Baselga family, Ruzicka",0.5348118409004979,NA
Didham_1999,standardized_subsamples,BJ,FALSE,"Baselga family, Jaccard",0.9740024510061519,NA
Didham_1999,standardized_subsamples,BJ,TRUE,"Baselga family, Ruzicka",0.96951225548912,NA
Ding_2013,pooled,BJ,FALSE,"Baselga family, Jaccard",0.6495685067172979,NA
Ding_2013,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.4830706990025945,NA
Dixo_2009,pooled,BJ,FALSE,"Baselga family, Jaccard",0.4533333333333333,NA
Dixo_2009,pooled,BJ,TRUE,"Baselga family, Ruzicka",0.525977202596262,NA
